scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
26,2,s_curve,,0.8,0.19313733684984916,False,4.46,0.20181584789374624,0.03997265547513962,10.252306938171387,249,10.003374099731445,0.16133910814394195,0.15638841688632965,0.5537525415420532,0.3296922743320465,0.6020336747169495,0.41211534291505814,0.2880856692790985,20.966384887695312,0.5434184074401855
27,0,s_curve,,1.0,0.19313758638344722,False,2.54,0.20376427920987708,0.0771971195936203,10.252306938171387,249,10.003374099731445,0.16133910814394195,0.24263200163841248,0.46095913648605347,0.29346224665641785,0.5460805892944336,0.29346224665641785,0.24902506172657013,31.762287139892578,0.9022216796875
28,1,s_curve,,1.0,0.19313792124983276,False,1.78,0.13550786997257,0.04363137111067772,10.252306938171387,249,10.003374099731445,0.16133910814394195,0.05163746327161789,0.7463822960853577,0.5202919840812683,0.6091283559799194,0.5202919840812683,0.28438326716423035,12.208559036254883,0.4515743553638458
29,2,s_curve,,1.0,0.1931393452496522,False,3.7800000000000002,0.1820389209122955,0.03594430163502693,10.25230598449707,249,10.003374099731445,0.16133910814394195,0.23256346583366394,0.4499116837978363,0.3326461911201477,0.6165693402290344,0.3326461911201477,0.289165198802948,18.741270065307617,0.4707290530204773
30,0,circle,,0.2,0.6628245656135541,True,20.0,0.0651569935516684,0.00682354299351573,4.0,71,0.400863379240036,0.744131177663803,0.04519842565059662,0.21649061143398285,0.19547615945339203,0.24685826897621155,0.9773807972669601,0.29706013202667236,4.136942386627197,0.14860297739505768
31,1,circle,,0.2,0.6628238311650931,True,20.0,0.06518736622777672,0.007487212307751179,4.0,71,0.10561633110046387,0.7617132365703583,0.09858764708042145,0.04218549281358719,0.18209971487522125,0.22537575662136078,0.9104985743761063,0.29750561714172363,3.93050479888916,0.14342500269412994
32,2,circle,,0.2,0.6628231088602092,True,20.0,0.05773325300910843,0.006997959688305855,4.0,71,0.12562569975852966,1.0012794435024261,0.23756000399589539,0.2712944746017456,0.17427776753902435,0.22168606519699097,0.8713888376951218,0.29765835404396057,3.674793243408203,0.13514567911624908
33,0,circle,,0.4,0.6628238478877815,True,20.0,0.023416981718159067,0.0067957243882119656,8.0,141,3.0257742404937744,2.749105755482809,0.6018384099006653,0.6181840300559998,0.6307822465896606,0.6474289298057556,1.5769556164741516,0.29814910888671875,4.743103504180908,0.22766613960266113
34,1,circle,,0.4,0.6628245806259948,True,20.0,0.023921776180498455,0.0067522828467190266,8.0,141,2.988079786300659,3.0383148193359375,0.5718104839324951,0.6945332288742065,0.641803503036499,0.6560733914375305,1.6045087575912476,0.2983340322971344,4.672131538391113,0.22679618000984192
35,2,circle,,0.4,0.6628245066518734,False,14.620000000000001,0.03934223826235348,0.014452876523137093,8.0,141,1.3670278787612915,0.9651880900012417,0.13727062940597534,0.461160272359848,0.4974617063999176,0.590312659740448,1.243654265999794,0.29693105816841125,10.854609489440918,0.3266785144805908
36,0,circle,,0.6,0.6628246563418361,False,2.74,0.183033408053684,0.033916763961315155,12.0,212,2.2940733432769775,1.7221983671188354,0.18746685981750488,0.7811262011528015,0.6536184549331665,0.699920117855072,1.0893640915552776,0.28143200278282166,10.843889236450195,0.43831866979599
37,1,circle,,0.6,0.6628246227504103,False,8.38,0.08166163306235028,0.03359467163681984,12.0,212,2.2940733432769775,1.7221983671188354,0.330442875623703,0.5295342803001404,0.6345685124397278,0.7611783146858215,1.0576141873995464,0.2916261553764343,15.8749418258667,0.495540052652359
38,2,circle,,0.6,0.6628245790208195,False,4.68,0.1828103544128536,0.0258969534188509,12.0,212,2.2940733432769775,1.7221983671188354,0.29240795969963074,0.6024156808853149,0.6478134393692017,0.7190301418304443,1.0796890656153362,0.2923569679260254,18.07606315612793,0.5226225256919861
