scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
21,0,s_curve,,0.4,,interleaved,1.0,10,10,0.19313764558739102,True,20.0,0.04967854219862599,0.054709501564502716,0.048603761941194534,8.0,195,2.240955352783203,0.19676453271974761,0.0134681211784482,0.046915650367736816,0.4704953730106354,0.5241976380348206,0.5172333717346191,1.2930834293365479,0.2156243920326233,5.514408111572266,0.21145863831043243
22,1,s_curve,,0.4,,interleaved,1.0,10,10,0.19313906960707775,True,20.0,0.0542948809632468,0.05242832377552986,0.04628553241491318,8.0,195,2.2262983322143555,0.029401779174804688,0.032852690666913986,0.033664770424366,0.4797729551792145,0.5224563479423523,0.5170599222183228,1.2926498055458069,0.21607598662376404,5.5917840003967285,0.20831796526908875
23,2,s_curve,,0.4,,interleaved,1.0,10,10,0.19313906960731264,True,20.0,0.0381875383100554,0.056973088532686234,0.050825219601392746,8.0,195,2.2299976348876953,0.08653163909912111,0.014645098708570004,0.028537053614854813,0.49249279499053955,0.5202922821044922,0.5155087113380432,1.288771778345108,0.21805499494075775,5.138796806335449,0.20351777970790863
24,0,s_curve,,0.6,,interleaved,1.0,9,9,0.19313903116315306,True,20.0,0.07081068453480438,0.05202473700046539,0.04860612377524376,10.252312660217285,249,0.0515546053647995,0.5882516543017788,0.0061098504811525345,0.025160277262330055,0.44720226526260376,0.525480329990387,0.5170271992683411,0.8617119987805685,0.20198169350624084,5.826670169830322,0.22789743542671204
25,1,s_curve,,0.6,,interleaved,1.0,9,9,0.193137022740625,True,20.0,0.07009550390105175,0.049690283834934235,0.045960068702697754,10.252312660217285,249,0.07321923971176147,0.6117847601519986,0.004693291150033474,0.021793296560645103,0.4335763454437256,0.5256280899047852,0.515269935131073,0.8587832252184551,0.20145049691200256,6.673140048980713,0.23360884189605713
26,2,s_curve,,0.6,,interleaved,1.0,9,9,0.19313727228021674,True,20.0,0.07275367007061721,0.051969919353723526,0.04818322882056236,10.252312660217285,249,0.02298320271074772,0.41043979326357083,0.02446989342570305,0.010526511818170547,0.44720083475112915,0.5290939807891846,0.5180984735488892,0.8634974559148153,0.20329168438911438,5.927449703216553,0.2327483594417572
27,0,right_angle,,0.2,,interleaved,1.0,6,6,0.6934089668543904,True,20.0,0.059316751416969675,0.04704408720135689,0.036206331104040146,4.0,81,1.7333194017410278,0.05475807189941406,0.26029929518699646,0.15802615880966187,0.22129282355308533,0.36119574308395386,0.32199591398239136,1.6099795699119568,0.23052582144737244,5.734619617462158,0.18101270496845245
28,1,right_angle,,0.2,,interleaved,1.0,8,8,0.6934088279750977,True,20.0,0.05756446703354005,0.04719389230012894,0.038136646151542664,4.0,81,2.709185838699341,0.39609152475465975,0.7215715050697327,0.470894455909729,0.22952930629253387,0.4160620868206024,0.37880998849868774,1.8940499424934387,0.22965410351753235,5.5325541496276855,0.18731629848480225
29,2,right_angle,,0.2,,interleaved,1.0,8,8,0.6934088987398024,True,20.0,0.0727391120317776,0.04932275414466858,0.04006185382604599,4.0,81,3.0785746574401855,0.32880050340761385,0.6100556254386902,0.6640921235084534,0.22622406482696533,0.448915958404541,0.4049183428287506,2.024591714143753,0.2296299934387207,5.3668365478515625,0.18868905305862427
30,0,right_angle,,0.4,,interleaved,1.0,7,7,0.6934089320514559,False,13.040000000000001,0.19178115192693493,0.050497740507125854,0.04078866168856621,8.0,161,5.553602695465088,0.0,0.3785199224948883,0.35557517409324646,0.360271692276001,0.5816267728805542,0.5317444801330566,1.3293612003326416,0.2259783148765564,13.821154594421387,0.3071584105491638
